fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,stars,price,kcal,age,production volume,sediment volume,opacity,magnesium oxide,total potassium
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,3.0,15.199697078223666,182.53669360133358,1.9023401507282836,49667.46087530195,10.29951728792489,0.09970069027203676,50.150899619122804,99.24501573546023
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,3.0,15.994646780456813,209.34040965962865,2.1189562017600583,50999.82618430929,11.16672600839185,0.09913261853330217,49.61115209006403,100.1443990058409
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,2.0,14.476636858690398,257.4873433443024,1.826264222141942,51035.57777493654,9.619137972358619,0.10090836463323055,52.534397393033416,101.42902990145458
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,2.0,14.577150283164242,198.16750659959857,2.0604683196858447,48843.74561475585,9.856484525365774,0.09764525285792933,49.470749432833905,97.8852981831054
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,2.0,15.166681967395483,235.25137066389658,2.0981087910529808,50876.912533987525,10.002177111782105,0.1003610487008975,46.39350944908926,96.37496912679813
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,3.0,14.346604387381616,227.3027895778863,2.0501436342059054,49174.777349576434,9.975253789971655,0.1007097857990515,53.08139578504583,101.78341250788999
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,2.0,17.144137689801955,219.77797293407193,2.0274086563326614,49930.06688846696,9.255126731181472,0.09829473493200613,49.551914132019355,101.96735563200936
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,2.0,16.9693124962108,214.05061929819274,2.00341475143784,50320.9219051865,10.089753142740191,0.10175114524157725,47.71664587943322,99.5997906145858
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,2.0,13.181562279942233,216.767445900362,1.9328239867692758,50955.73267886691,10.174047541196499,0.10004459088541894,51.41968653873539,98.0619021009241
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,2.0,20.07543536998926,211.68665071102643,2.010370114004164,50908.504140802295,10.279693991083652,0.10088362180533791,48.924819321521255,100.1513331754019
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,3.0,7.255661365699069,221.84345258500966,1.9120045633673142,50517.132869555055,10.299273750837614,0.09824223172494191,50.894965299192066,101.42469059538348
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,2.0,12.47608696473904,194.26180170541147,1.9553727913674224,49906.11520768923,9.968106151647511,0.0986616462612572,50.99778339491021,100.84376892053807
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,3.0,14.440142682396324,203.07424101412042,1.9011178979921233,50313.26957880751,10.222630751417617,0.09880916252725262,47.28028867319576,99.34027613794902
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,2.0,15.121637547888668,194.4951798000704,1.953238211289991,51333.42023898366,10.437031082357722,0.10050472848570367,50.58700011675187,101.35898358701068
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,3.0,17.150145805281994,166.10130150790442,1.7929941468701243,50698.997080465786,9.276916808495692,0.10007767924697976,49.626172326059134,99.47787043302114
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,2.0,14.689284893152204,206.48330521183485,1.9927041788798718,51744.640988771134,10.385190949406462,0.1002582540700466,45.696556300463726,102.58331463320468
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,3.0,15.57741772134789,185.43230305882096,1.886634502649946,49649.6321062343,10.260614596723444,0.10074728482225684,50.07987690803545,97.5349232057423
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,3.0,17.934233516166458,166.69201446324408,1.9569943722058722,48067.598316526586,9.138238871396831,0.0995124462983774,47.598445707206366,98.2364790908889
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,4.0,14.845807436011944,215.33923312738236,1.963329428855857,51261.07782012544,10.442576591644345,0.09885327647480412,51.53162340796515,99.87535058095764
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,1.0,20.033266524071266,164.65185153834327,2.149513456841521,51601.88520068944,9.779236655688269,0.10021722310848631,50.104255104677755,101.79532864201123
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,2.0,14.233159738996381,177.79608021433265,1.759538920647531,49688.775224248115,10.308496224309375,0.1002883992316053,49.198309562354844,100.82284714358673
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,2.0,16.024963781934208,153.83903931512668,2.0822843064899645,47739.92102155281,10.929734927322743,0.09875646296812136,53.01887273165726,99.74543689566251
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,1.0,13.739707467136245,205.21475801470746,1.8887087993142904,50516.12496771993,9.416216050884469,0.0987186931318904,48.054577692017745,100.06474243822977
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,3.0,14.57862403841312,211.31340310059346,2.1093975336916295,50321.344308277985,10.609726298248704,0.09977724282047355,51.90906150271279,99.39140756934718
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,2.0,17.809276993071716,187.55962023097138,1.9971462704699596,49083.31628318089,10.457276268787377,0.10015325493838914,49.82218801689672,98.59007525209539
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,2.0,16.13960618097723,180.99166319515533,1.8877564705303826,49334.740086755686,9.69991091899505,0.09870255429411967,49.72085698739148,99.71262326591746
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,1.0,15.767265255509809,206.35876391141494,2.0351872223168357,50465.85085167292,10.200014859982506,0.10204196282171464,50.86967680631884,96.8914882346148
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,2.0,14.480281455980247,219.95992854125652,2.0579075737161987,48926.839306402784,9.2033370136686,0.09980332101514512,51.98963267340409,98.1173431706425
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,2.0,18.409224601104576,210.37607753057162,1.7334228083866305,48471.1119018434,10.133404054617138,0.09995793929685623,55.76534667653758,98.62834064447073
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,2.0,17.46524514661683,197.99788844978465,1.9422985578303902,49861.99446841513,9.652997439096923,0.10037419920491193,51.78501611035692,98.38716230360703
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,2.0,21.611597514471036,188.90730037099817,1.9691960466047391,51851.830772507295,9.76509490069951,0.10110906276124089,48.01294490204371,102.01267756297057
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,2.0,20.995865792611735,208.91721287821332,2.1312540554903174,50950.66466476627,10.255893969742347,0.09923362692873157,49.440662516880465,101.32094760160456
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,3.0,15.11911679767438,205.5803560008509,1.8820075841986004,47378.26028863924,9.854024819503461,0.09931503296869587,52.23321859086311,101.93145879685243
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,3.0,20.950364797472773,214.73922262574962,1.9939245494621902,49937.18013765728,10.602544257891592,0.09908476687786238,50.97808611659201,99.37393920926482
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,2.0,13.96896391393078,210.38763796895518,2.119104941001238,51431.441082117075,10.447353281219154,0.10017835372597331,47.867455261231136,99.84139020523722
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,3.0,19.506660573582582,184.73575197878017,1.9754513242225018,49079.579142628456,10.020737666169577,0.09901972657732061,49.83739912320302,100.42613866151788
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,2.0,13.707168532790245,184.8028586672071,2.0159014969102182,50972.858421867866,9.968541914097283,0.10022297367358082,47.90528432315019,99.71018911055609
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,2.0,18.00298369320202,179.5570008575524,2.0096134249217523,50401.6561905025,10.473307283823095,0.09903554912475031,47.657866453943925,99.79251269583915
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,2.0,17.762724131279633,181.067442222483,2.108416914738043,49619.66741427622,10.458331002731452,0.09955064004991176,49.68942441812531,101.23075061854111
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,2.0,10.620868500220771,213.76421070727068,1.9844883597072984,48639.29087731558,10.436341022724019,0.10040275510185953,48.90336297040319,99.59547448618827
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,3.0,20.258950988662146,187.81476199520912,2.011561118973191,50690.53806740304,8.890260240690909,0.10096353573944346,47.83886357148525,99.36087236294085
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,2.0,16.776476223562888,222.58753202224483,2.0289973476726053,49336.94872837768,10.6540240136724,0.09963917785675565,51.24518467949314,99.3363675395569
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,2.0,13.420671926694265,194.91802840893672,1.9074293167187788,50580.84537882111,10.294965227864473,0.09986123887369447,46.5253778730325,98.82685768130999
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,4.0,16.731703633843455,221.878928345908,1.9492796322098853,48965.9254984438,9.63963735227783,0.099748439826011,49.76716869794752,94.14216931825835
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,2.0,13.474567451201535,178.57670951467531,2.1654121970719356,51008.01014691368,9.887167011157674,0.09878928022418079,48.08374592982971,102.64573148019632
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,2.0,16.407517994973574,158.78425178569768,1.9449432333350036,50402.13813875149,10.854133695788017,0.0998237500639894,49.178319892025876,97.671064460372
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,2.0,13.30981258403172,231.12440807064064,2.044344873440528,50408.82169769256,9.831696873977112,0.09878539921516048,46.41131542903179,100.23357437459137
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,2.0,12.424517041018039,187.51291870700362,1.8833755834491905,50270.54907667911,9.540750425556139,0.09876768216470518,49.335285179860506,102.8562143998969
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,2.0,13.65188702115922,211.27549069274372,2.008854436397352,49871.04058398,9.81605765864451,0.10006179187390532,51.46944115292608,100.32648864286813
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,2.0,17.929436682944925,190.3781361735167,2.014395214801634,51080.470741346435,9.38333654077111,0.09787552931722072,52.02900276247366,100.28760773898456
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,3.0,12.15970514448483,189.0938754216244,1.8512543483693196,49795.44053278606,9.839385461071043,0.10026854736815605,48.123907227121144,100.46972407307219
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,3.0,19.445293710209995,230.16602836758145,2.003968000924285,50982.327820425475,10.1727246197272,0.10101195519642224,50.154969883416115,101.80850458981911
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,2.0,14.741030291757319,221.4359203671548,1.90894756851089,49676.9744727153,9.939909567950822,0.10062777278996125,51.83907347152637,100.33261188836116
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,2.0,15.791143547307467,193.62131790371842,2.182604699944809,48937.478601644,10.21718794382962,0.09929135578974428,52.91642587123425,103.68583018450313
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,1.0,12.403516726903979,191.98269565066835,1.9517218477381142,49807.95448252253,10.997202320970711,0.10026075424101773,53.73973412643012,101.24050430443248
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,2.0,16.06327795592817,182.72372549538534,2.0774504465309294,49346.991898399305,10.222942278383321,0.09999148964812596,50.0425304519956,99.53398042497105
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,2.0,13.832968101206614,171.385044665795,2.1402885561598755,49798.404806082355,9.542569243119372,0.09872979166317584,50.2653744741868,102.03475973796509
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,2.0,14.48476537325944,178.12343701835033,2.0661231265725375,48531.92714747337,9.748985129063598,0.09963852491162233,47.60250121588095,100.54132082354333
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,3.0,15.09749605369997,201.36193092436966,2.200435290718173,49637.55926119342,9.274437382566322,0.09994787108193742,52.37675379123157,97.19478580226868
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,2.0,16.367515956613545,187.91315172780955,1.8810672620661288,50421.61278908003,9.886425689157994,0.10065450763877444,48.91418073733283,97.83046551765766
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,1.0,16.62532578432535,183.26280078485973,1.855908018428056,50164.49242002208,9.701898290059528,0.0989924128549473,53.06714352430788,100.299077871643
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,2.0,19.37868331083903,202.52272643417032,2.066546589390995,49604.10929206531,9.649066253543692,0.10037415649847294,51.804400692855495,98.31286691651673
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,2.0,12.140120338604499,215.68738464682406,1.8890959296021057,49553.65420715769,10.053840575126774,0.09847993979768406,47.39778148207129,99.19915618787712
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,2.0,13.713436087698476,228.66060350108842,2.132194587966987,49037.477624068284,9.766353533461265,0.09808416232445549,49.36520104788074,97.64390484897095
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,2.0,16.76909421122187,194.14569928963624,2.012052361192616,53089.1306140269,9.634972938547461,0.09902713604174061,48.85216734904036,100.61071332277831
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,3.0,16.769520164071128,171.52035802367794,2.032593296876895,48559.25402338145,9.60191622122628,0.09955097175754521,50.69705950193529,98.91960180427587
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,2.0,13.969121962876784,184.5812031309507,2.028166210114183,51470.90032787493,10.113504934614616,0.09870897165861994,50.32922333369461,106.22203513852297
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,3.0,13.759464882258676,193.92286140654844,1.9312102581061228,50246.94337454276,11.057417308950647,0.1013383147142984,51.5576622381897,101.78130475561316
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,2.0,15.29487879018126,163.27655534941675,1.8838101382491972,49539.48366676227,9.776487587206608,0.098856329633362,53.00842404405287,97.67503313113652
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,2.0,14.631865433459367,194.8238026253979,2.0845349721864275,49679.49338347204,10.570711766658574,0.10133445415579256,48.26508027713329,104.00186286852065
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,2.0,14.28440058175531,210.37938979079829,2.021182596244544,50632.16007306351,10.314433301170535,0.09911149774219556,48.65699666357995,99.66880364339352
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,2.0,19.883678006114337,181.3994686521116,2.1983344458414225,49657.58596622226,10.002039925066912,0.09980985602777298,48.95682161307011,101.85679664023971
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,3.0,13.95781949676266,216.65494072031012,1.9452715556421465,49654.95414547304,9.946523698238652,0.0999338364607381,46.11216082673162,100.94543509406384
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,2.0,18.43882966294489,178.517254380509,2.012421302286199,51276.2966277982,9.426593224148249,0.09976008559387337,49.56346001187137,99.81330787617232
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,2.0,15.3016957862446,148.65683624471367,1.9599721273641415,48952.15630375081,9.96646888323351,0.09977043338679166,47.647016313921185,99.12985081956894
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,1.0,17.947556788224702,186.91233326233478,1.989557516851064,49351.87615522392,9.957244507872339,0.09920150660535303,53.552160530166695,98.24488612243968
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,3.0,10.701599271490801,193.69251511263064,2.044142474318252,50635.17415204413,11.418162878698693,0.09979045168623468,53.327653293143086,101.36314780262893
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,2.0,16.250730497916432,218.98987264711903,1.9468354899045353,49445.72799075298,9.800995984762018,0.10032049380333347,48.77779675654082,101.97441218189492
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,2.0,13.402948633028366,181.6350973740329,2.0315695898035266,50334.86459680864,9.217049431364018,0.09963686893579433,48.57229911012307,102.18593892251157
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,2.0,15.442795608215917,191.04938539777416,2.172731897661684,51124.75227316313,10.447983458474145,0.09922334445581955,52.74336381211616,98.16807909685808
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,3.0,13.332017645116508,201.05205761429295,2.2114297296508223,52458.96745432235,10.37478082410561,0.09848574980677488,51.20751542649175,97.15186789498733
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,3.0,15.762180828809294,185.70402109869426,2.0297703050612843,50404.20898007023,9.894023012056227,0.100080484533407,53.37418638640225,99.54275004006989
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,3.0,17.50263352131707,186.50494676848896,1.9871512999526204,48596.34034623685,10.041522613548485,0.09964804532031923,48.82065826701336,98.15521643874854
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,3.0,9.363327315201465,154.82832212421368,2.1050202605962074,50332.124941575996,9.376065106451543,0.09981436899220981,52.17224647762009,101.06755324827166
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,2.0,12.835312530840387,202.42590376864885,1.8497793744967326,51682.862715851916,10.53049631144915,0.09846312733471435,47.979019738172525,98.14623540336447
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,2.0,18.23010395156238,187.88940382424812,2.0406310515536625,49135.72186105661,9.55538933586175,0.1015339134676215,53.70745895730916,97.56781538938097
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,2.0,12.66734324142113,193.4349564682227,2.09026408340613,50346.97002362362,9.687694278200727,0.10071119437055343,51.45977676574609,100.10000817194826
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,2.0,14.182675158128117,168.18643600130633,2.0291397500483908,51416.37021643578,10.211322665014348,0.09990017436483982,47.851077845683136,102.38026243679326
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,2.0,9.314373140423449,208.23788326020977,2.0433777420895436,50344.290856828564,9.799212279542663,0.09863093415867429,48.37400889859694,96.23631617962661
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,3.0,15.07232324846691,249.28539633113223,2.0414354226920235,48745.90234085238,9.56380453582014,0.09966827826586679,48.33357637011012,98.14349799864517
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,2.0,17.351822914352304,175.12606420869622,2.014757880071734,47559.992388258215,9.629628361667232,0.10050864895279053,48.29589821014122,96.21083022511897
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,2.0,14.067056154251238,197.87232877535527,2.0663459712612493,49375.31595607837,9.961680677582926,0.10216313118433404,49.91102453116965,98.88261993516592
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,2.0,13.699356722225414,162.80925783304238,2.053406314454279,50181.00770516456,9.923363919236204,0.10152641009060612,50.56077511451546,97.76171873612631
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,2.0,15.286078491211127,178.46632539428288,1.989481915834201,49452.011811942306,10.717667551782272,0.0990442340040084,47.97958117231439,97.38064626995933
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,3.0,18.015455997008033,172.4247684922225,1.911290401117801,50791.15663078465,9.630311702799242,0.10027439868967182,46.91706315603344,97.97484739377896
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,2.0,16.34633162587115,193.63140063498045,1.9271318147590757,50653.79949215287,9.85241766973412,0.10086406782390472,53.73016273256919,98.30383163202808
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,3.0,14.452523498606753,181.3784541580099,1.8387177690528593,51149.17050808899,9.714581336717462,0.0988565294254775,46.41522145005385,98.79348839279706
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,3.0,20.125931956634265,188.68160490761687,1.9695403833008442,48843.82898251919,9.972528264321971,0.09867254977284955,51.688765713512076,96.77185878333057
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,3.0,17.45902943954808,218.13442931941984,2.0641993187712497,49429.375356544886,9.186213203865174,0.10032087901856446,53.056738934472946,101.29816898996818
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,3.0,13.100605140716612,216.0563573929537,2.1982873337348607,52089.82814826752,10.239564645112946,0.10131169297588964,47.578742091081345,101.01654746586593
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,3.0,18.518772656518554,213.9081935431265,2.108390277751276,50386.09132295104,9.908622240258026,0.10116893530312836,47.6724472585676,97.8175544492467
